tt_null,pct_F+,pct_F,transitions,eps_increase_steps,case,mode,alpha,lambda_,gamma1,dtau,steps
0.0,0.0,0.9933333333333333,1,0,1,potential,0.5,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,2,potential,0.5,0.5,1.0,0.05,300
0.0,0.0,0.9133333333333333,8,0,3,potential,0.5,0.5,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,4,potential,0.5,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,5,potential,0.5,1.0,1.0,0.05,300
0.0,0.0,0.9133333333333333,8,0,6,potential,0.5,1.0,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,7,potential,0.5,2.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,8,potential,0.5,2.0,1.0,0.05,300
0.0,0.0,0.9133333333333333,8,0,9,potential,0.5,2.0,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,10,potential,1.0,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,11,potential,1.0,0.5,1.0,0.05,300
0.0,0.0,0.9166666666666666,10,0,12,potential,1.0,0.5,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,13,potential,1.0,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,14,potential,1.0,1.0,1.0,0.05,300
0.0,0.0,0.9166666666666666,10,0,15,potential,1.0,1.0,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,16,potential,1.0,2.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,17,potential,1.0,2.0,1.0,0.05,300
0.0,0.0,0.9166666666666666,10,0,18,potential,1.0,2.0,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,19,potential,2.0,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,20,potential,2.0,0.5,1.0,0.05,300
0.0,0.0,0.92,13,0,21,potential,2.0,0.5,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,22,potential,2.0,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,23,potential,2.0,1.0,1.0,0.05,300
0.0,0.0,0.92,13,0,24,potential,2.0,1.0,2.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,25,potential,2.0,2.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,26,potential,2.0,2.0,1.0,0.05,300
0.0,0.0,0.92,13,0,27,potential,2.0,2.0,2.0,0.05,300
