tt_null,pct_F+,pct_F,transitions,eps_increase_steps,case,mode,a_tau,xi_sigma,xi_omega,alpha,lambda_,dtau,steps
0.0,0.0,0.9933333333333333,1,0,28,residual,0.0,0.8,0.0,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,29,residual,0.0,0.8,0.0,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,30,residual,0.0,0.8,0.0,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,31,residual,0.0,0.8,0.0,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,32,residual,0.0,0.8,0.2,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,33,residual,0.0,0.8,0.2,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,34,residual,0.0,0.8,0.2,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,35,residual,0.0,0.8,0.2,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,36,residual,0.0,1.2,0.0,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,37,residual,0.0,1.2,0.0,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,38,residual,0.0,1.2,0.0,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,39,residual,0.0,1.2,0.0,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,40,residual,0.0,1.2,0.2,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,41,residual,0.0,1.2,0.2,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,42,residual,0.0,1.2,0.2,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,43,residual,0.0,1.2,0.2,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,44,residual,0.2,0.8,0.0,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,45,residual,0.2,0.8,0.0,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,46,residual,0.2,0.8,0.0,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,47,residual,0.2,0.8,0.0,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,48,residual,0.2,0.8,0.2,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,49,residual,0.2,0.8,0.2,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,50,residual,0.2,0.8,0.2,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,51,residual,0.2,0.8,0.2,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,52,residual,0.2,1.2,0.0,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,53,residual,0.2,1.2,0.0,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,54,residual,0.2,1.2,0.0,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,55,residual,0.2,1.2,0.0,1.0,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,56,residual,0.2,1.2,0.2,0.5,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,57,residual,0.2,1.2,0.2,0.5,1.0,0.05,300
0.0,0.0,0.9933333333333333,1,0,58,residual,0.2,1.2,0.2,1.0,0.5,0.05,300
0.0,0.0,0.9933333333333333,1,0,59,residual,0.2,1.2,0.2,1.0,1.0,0.05,300
