record_id,record_type,source_record_index,C0,tau0,tau_eff,HRV_mod,dphi_rad,C,F_res,baseline_F_cap,baseline_B_rank,baseline_S_rank,baseline_zone3,baseline_phi_lock_T,baseline_C_hat,baseline_theta_C,baseline_pi_gate_ok,baseline_phi_lock_ok,recommended_C,recommended_dphi_rad,recommended_tau,recommended_C_cl,recommended_dphi_cl,recommended_tau_cl,recommended_F_res,recommended_F_cap,recommended_B_rank,recommended_S_rank,recommended_zone3,recommended_phi_lock_T,recommended_C_hat,recommended_theta_C,recommended_pi_gate_ok,recommended_phi_lock_ok,G_phi,phase_type,inversion_flag,F_phi,C_phi_signed,R_Qeff_raw,R_PLV,R_combo_norm,Q_c,R_PLV_signed,R_combo_signed_raw,R_combo_signed_unit,classification_allowed
SYN-00001,synthetic_grid,1,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.05,0.0360423876628602,0.6171292533392689,0.6171292533392689,0.8983,0.1017,kohärent,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.05,0.8561159420289856,0.0360423876628602,0.05,0.8561159420289856,0.6171292533392689,0.6171292533392689,0.8984,0.1017,kohärent,2.5683478260869568,0.0,0.62,false,true,0.9987502603949663,inphase,0,0.616358002469946,0.035997344063537946,17.12231884057971,0.9987502603949664,1.0,1.0,0.9987502603949663,17.10092040059462,1.0,true
SYN-00002,synthetic_grid,2,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.06464646464646465,0.0360423876628602,0.4773109068795908,0.4773109068795908,0.8599,0.1402,kohärent,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.0646464646464646,0.8561159420289856,0.0360423876628602,0.0646464646464646,0.8561159420289856,0.4773109068795911,0.4773109068795911,0.8599,0.1402,kohärent,2.5683478260869568,0.0,0.62,false,true,0.9979111449289617,inphase,0,0.4763138735712938,0.03596710033861831,13.243043478260878,0.9979111449289616,0.7722499993074895,0.7722499993074892,0.9979111449289617,13.215380679735333,0.7727876845316359,true
SYN-00003,synthetic_grid,3,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.07929292929292929,0.0360423876628602,0.38914519796552627,0.3891451979655262,0.8216,0.1785,kohärent,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.0792929292929292,0.8561159420289856,0.0360423876628602,0.0792929292929292,0.8561159420289856,0.3891451979655266,0.3891451979655266,0.8216,0.1785,kohärent,2.5683478260869568,0.0,0.62,false,true,0.9968579624620909,inphase,0,0.38792248914582184,0.035929141127867624,10.796876211575754,0.996857962462091,0.6285014678807862,0.6285014678807861,0.9968579624620909,10.762952021226825,0.6293785228573184,true
SYN-00004,synthetic_grid,4,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.09393939393939393,0.0360423876628602,0.32847202193864317,0.3284720219386431,0.7833,0.2168,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.0939393939393939,0.8561159420289856,0.0360423876628602,0.0939393939393939,0.8561159420289856,0.3284720219386432,0.3284720219386432,0.7833,0.2168,regulativ,2.5683478260869568,0.0,0.62,false,true,0.9955909389178877,inphase,0,0.3270237687301508,0.03588347457410948,9.113492286115012,0.995590938917888,0.5294635165870237,0.5294635165870237,0.9955909389178877,9.073310341954171,0.5305743860218588,true
SYN-00005,synthetic_grid,5,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.10858585858585859,0.0360423876628602,0.2841664933980819,0.2841664933980819,0.7449,0.2552,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.1085858585858585,0.8561159420289856,0.0360423876628602,0.1085858585858585,0.8561159420289856,0.2841664933980822,0.2841664933980822,0.7449,0.2552,regulativ,2.5683478260869568,0.0,0.62,false,true,0.994110346092024,inphase,0,0.28249285109972433,0.03583011047350885,7.884230535894851,0.994110346092024,0.4570440827919281,0.4570440827919279,0.994110346092024,7.837795146707734,0.4583259241669357,true
SYN-00006,synthetic_grid,6,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.12323232323232323,0.0360423876628602,0.2503926068876542,0.2503926068876542,0.7067,0.2934,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.1232323232323232,0.8561159420289856,0.0360423876628602,0.1232323232323232,0.8561159420289856,0.2503926068876543,0.2503926068876543,0.7067,0.2934,regulativ,2.5683478260869568,0.0,0.62,false,true,0.9924165015940056,inphase,0,0.248493754952449,0.03576906027347067,6.947170349251606,0.9924165015940056,0.4017522670479748,0.4017522670479747,0.9924165015940056,6.894486493981885,0.4031646445031201,true
SYN-00007,synthetic_grid,7,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.13787878787878788,0.0360423876628602,0.2237941248373173,0.2237941248373173,0.6681,0.332,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.1378787878787878,0.8561159420289856,0.0360423876628602,0.1378787878787878,0.8561159420289856,0.2237941248373174,0.2237941248373174,0.6681,0.332,regulativ,2.5683478260869568,0.0,0.62,false,true,0.9905097687790405,inphase,0,0.22167026684671898,0.0357003370701842,6.209192546583855,0.9905097687790408,0.3581299496920179,0.3581299496920179,0.9905097687790405,6.150265873621317,0.35964531320825655,true
SYN-00008,synthetic_grid,8,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.1525252525252525,0.0360423876628602,0.20230396053174712,0.2023039605317471,0.63,0.3701,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.1525252525252525,0.8561159420289856,0.0360423876628602,0.1525252525252525,0.8561159420289856,0.2023039605317471,0.2023039605317471,0.63,0.3701,regulativ,2.5683478260869568,0.0,0.62,false,true,0.9883905566700938,inphase,0,0.1999553241665382,0.03562395560581371,5.612945580190038,0.9883905566700938,0.3228155223801234,0.3228155223801234,0.9883905566700938,5.547782406562974,0.3244142582156029,true
SYN-00009,synthetic_grid,9,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.16717171717171717,0.0360423876628602,0.18457944435222848,0.1845794443522284,0.5917,0.4084,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.1671717171717171,0.8561159420289856,0.0360423876628602,0.1671717171717171,0.8561159420289856,0.1845794443522285,0.1845794443522285,0.5917,0.4084,regulativ,2.5683478260869568,0.0,0.62,false,true,0.9860593198701452,inphase,0,0.18200628135996774,0.03553993226533604,5.121176934191516,0.9860593198701452,0.2936254767582562,0.2936254767582561,0.9860593198701452,5.049784244663562,0.2952931261224966,true
SYN-00010,synthetic_grid,10,0.12014129220953401,0.8561159420289856,0.8561159420289856,0.3,0.18181818181818182,0.0360423876628602,0.16971054466829896,0.1697105446682989,0.5533,0.4468,regulativ,2.5683478260869568,0.0,0.62,false,true,0.0360423876628602,0.1818181818181818,0.8561159420289856,0.0360423876628602,0.1818181818181818,0.8561159420289856,0.169710544668299,0.169710544668299,0.5533,0.4468,regulativ,2.5683478260869568,0.0,0.62,false,true,0.9835165584646711,inphase,0,0.16691313082733025,0.03544828507302578,4.708637681159421,0.9835165584646712,0.2690798919394309,0.2690798919394309,0.9835165584646711,4.631023127230983,0.27080548992380293,true
