eps_deg,cap_quantile,B_hi,S_lo,B_lo,S_hi,mean_pair_diff,mean_pair_jacc,nondegeneracy_penalty,stability_score,shares_koh,shares_reg,shares_frag
1.0,0.99,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.99,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.98,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.99,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.995,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.98,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.98,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.99,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.99,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.99,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.995,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.995,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.99,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.99,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.99,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.99,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.98,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.995,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.98,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.98,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.99,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.99,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.98,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.98,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.98,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.98,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.995,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.995,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.98,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.98,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.995,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.5,0.995,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.995,0.75,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
1.0,0.995,0.75,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.995,0.8,0.2,0.2,0.75,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.995,0.8,0.2,0.2,0.8,0.028571,0.942404,0.0,0.906893,0.2,0.6,0.2
0.5,0.98,0.8,0.25,0.2,0.8,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
1.5,0.995,0.8,0.2,0.25,0.8,0.028643,0.942246,0.0,0.906778,0.2,0.5999,0.2001
1.5,0.995,0.8,0.25,0.2,0.75,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
1.5,0.995,0.8,0.25,0.2,0.8,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
0.5,0.995,0.8,0.2,0.25,0.8,0.028643,0.942246,0.0,0.906778,0.2,0.5999,0.2001
0.5,0.995,0.8,0.25,0.2,0.75,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
0.5,0.995,0.8,0.25,0.2,0.8,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
0.5,0.99,0.75,0.2,0.25,0.8,0.028643,0.942246,0.0,0.906778,0.2,0.5999,0.2001
1.5,0.98,0.8,0.25,0.2,0.75,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
1.5,0.98,0.8,0.25,0.2,0.8,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
1.5,0.99,0.8,0.25,0.2,0.8,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
1.5,0.99,0.8,0.25,0.2,0.75,0.028643,0.942246,0.0,0.906778,0.2001,0.5999,0.2
1.5,0.99,0.8,0.2,0.25,0.8,0.028643,0.942246,0.0,0.906778,0.2,0.5999,0.2001
1.0,0.98,0.75,0.2,0.25,0.8,0.028643,0.942246,0.0,0.906778,0.2,0.5999,0.2001
